Filename,ID,Feature,Manual,Automated
ACC3,6,Area,592.000000,584.000000
ACC3,6,Perimeter,92.183766,89.597980
ACC3,6,Solidity,0.964169,0.952692
ACC3,6,Eccentricity,0.732428,0.624199
ACC3,6,Circularity,0.875433,0.914169
ACC3,6,X,215.967905,217.018836
ACC3,6,Y,344.996622,343.398973
ACC3,7,Area,1222.000000,1436.000000
ACC3,7,Perimeter,143.053824,142.811183
ACC3,7,Solidity,0.940000,0.967003
ACC3,7,Eccentricity,0.559293,0.445195
ACC3,7,Circularity,0.750382,0.884789
ACC3,7,X,392.851064,393.291783
ACC3,7,Y,371.099018,370.944986
ACC4,0,Area,6177.000000,6616.000000
ACC4,0,Perimeter,307.663997,311.563492
ACC4,0,Solidity,0.972297,0.977397
ACC4,0,Eccentricity,0.452108,0.509273
ACC4,0,Circularity,0.820038,0.856470
ACC4,0,X,267.497329,268.340992
ACC4,0,Y,115.612271,115.217352
ACC4,1,Area,1638.000000,1703.000000
ACC4,1,Perimeter,156.710678,158.024387
ACC4,1,Solidity,0.963529,0.972032
ACC4,1,Eccentricity,0.675295,0.692480
ACC4,1,Circularity,0.838159,0.856991
ACC4,1,X,128.191087,129.340575
ACC4,1,Y,97.532357,97.011157
ACC4,2,Area,305.000000,380.000000
ACC4,2,Perimeter,62.526912,72.769553
ACC4,2,Solidity,0.974441,0.959596
ACC4,2,Eccentricity,0.391537,0.430128
ACC4,2,Circularity,0.980338,0.901766
ACC4,2,X,460.540984,461.426316
ACC4,2,Y,163.967213,164.231579
ACC4,3,Area,2123.000000,2351.000000
ACC4,3,Perimeter,173.781746,179.923882
ACC4,3,Solidity,0.974300,0.979992
ACC4,3,Eccentricity,0.218575,0.427082
ACC4,3,Circularity,0.883388,0.912609
ACC4,3,X,479.704663,480.891961
ACC4,3,Y,231.268488,231.058273
ACC4,4,Area,451.000000,506.000000
ACC4,4,Perimeter,76.769553,81.012193
ACC4,4,Solidity,0.976190,0.974952
ACC4,4,Eccentricity,0.422950,0.232173
ACC4,4,Circularity,0.961631,0.968857
ACC4,4,X,174.700665,175.500000
ACC4,4,Y,241.851441,241.272727
ACC4,5,Area,7930.000000,8663.000000
ACC4,5,Perimeter,344.291414,361.119841
ACC4,5,Solidity,0.974321,0.973261
ACC4,5,Eccentricity,0.374254,0.388299
ACC4,5,Circularity,0.840680,0.834787
ACC4,5,X,65.361791,66.850167
ACC4,5,Y,462.079950,462.759898
ACC5,0,Area,1318.000000,3465.000000
ACC5,0,Perimeter,139.296465,260.421356
ACC5,0,Solidity,0.964155,0.901170
ACC5,0,Eccentricity,0.675479,0.899316
ACC5,0,Circularity,0.853582,0.642037
ACC5,0,X,137.116085,124.140837
ACC5,0,Y,86.923369,108.787590
ACC5,1,Area,3012.000000,3626.000000
ACC5,1,Perimeter,207.237590,247.279221
ACC5,1,Solidity,0.971926,0.938406
ACC5,1,Eccentricity,0.498477,0.728866
ACC5,1,Circularity,0.881308,0.745182
ACC5,1,X,237.747344,233.498897
ACC5,1,Y,133.946215,131.783232
ACC5,2,Area,437.000000,679.000000
ACC5,2,Perimeter,85.597980,108.124892
ACC5,2,Solidity,0.890020,0.921303
ACC5,2,Eccentricity,0.603283,0.805381
ACC5,2,Circularity,0.749487,0.729841
ACC5,2,X,138.720824,141.128130
ACC5,2,Y,143.972540,139.497791
ACC5,3,Area,2003.000000,2155.000000
ACC5,3,Perimeter,167.681241,176.267027
ACC5,3,Solidity,0.977073,0.976439
ACC5,3,Eccentricity,0.456192,0.505184
ACC5,3,Circularity,0.895204,0.871595
ACC5,3,X,375.230654,375.437123
ACC5,3,Y,168.331003,168.307657
ACC5,4,Area,1124.000000,1540.000000
ACC5,4,Perimeter,144.367532,153.781746
ACC5,4,Solidity,0.906452,0.950031
ACC5,4,Eccentricity,0.640910,0.292288
ACC5,4,Circularity,0.677699,0.818316
ACC5,4,X,25.618327,25.435065
ACC5,4,Y,224.959964,220.360390
ACC5,5,Area,1709.000000,2158.000000
ACC5,5,Perimeter,201.480231,191.379726
ACC5,5,Solidity,0.806132,0.931377
ACC5,5,Eccentricity,0.924300,0.476591
ACC5,5,Circularity,0.529038,0.740405
ACC5,5,X,428.961966,436.450417
ACC5,5,Y,257.995904,254.314643
ACC5,6,Area,2387.000000,2396.000000
ACC5,6,Perimeter,218.509668,211.237590
ACC5,6,Solidity,0.918077,0.928682
ACC5,6,Eccentricity,0.892341,0.894243
ACC5,6,Circularity,0.628233,0.674768
ACC5,6,X,307.577294,306.867696
ACC5,6,Y,377.454127,377.636060
ACC5,7,Area,1640.000000,1600.000000
ACC5,7,Perimeter,171.539105,204.095454
