Gemcitabine Dosage (nM), Replicate, Time (hr), Organoid ID, Masked fluorescence, Area, Circularity
0,1,20,23,885,872,0.821303
0,1,20,24,2478,2132,0.869794
0,1,20,25,509,496,0.893240
0,1,20,26,1469,1468,0.834439
0,1,20,28,798,1004,0.843825
0,1,20,29,825,766,0.822500
0,1,20,30,680,668,0.882673
0,1,24,1,1987,1956,0.845508
0,1,24,2,7774,6980,0.847127
0,1,24,3,6008,4766,0.859261
0,1,24,4,8818,7300,0.860980
0,1,24,5,4421,4020,0.833025
0,1,24,6,6725,6176,0.837574
0,1,24,7,5321,4852,0.863945
0,1,24,8,2906,2928,0.862115
0,1,24,9,3938,3702,0.870616
0,1,24,10,3110,2396,0.856172
0,1,24,12,1760,1748,0.875138
0,1,24,13,1884,2240,0.875665
0,1,24,14,1941,1692,0.856815
0,1,24,15,1387,1520,0.865418
0,1,24,16,1073,1232,0.848173
0,1,24,18,870,796,0.848512
0,1,24,19,1523,1004,0.841207
0,1,24,20,1168,1128,0.858396
0,1,24,21,1506,1464,0.877751
0,1,24,22,1495,720,0.850271
0,1,24,23,1216,1216,0.884871
0,1,24,24,3054,2700,0.846233
0,1,24,25,856,868,0.864064
0,1,24,26,1450,1476,0.852421
0,1,24,28,711,892,0.855900
0,1,24,29,1077,1024,0.874621
0,1,24,30,1020,1060,0.860573
0,1,24,31,542,544,0.806989
0,1,24,32,420,448,0.887356
0,1,28,1,3962,4044,0.699820
0,1,28,2,6174,5148,0.841378
0,1,28,3,5898,3898,0.846366
0,1,28,4,10133,7820,0.844901
0,1,28,5,4965,4308,0.833062
0,1,28,6,7692,6760,0.844331
0,1,28,7,6089,5348,0.869273
0,1,28,8,2633,2568,0.872713
0,1,28,9,4182,3738,0.866991
0,1,28,10,3308,2344,0.835175
0,1,28,12,1866,1844,0.866894
0,1,28,13,2026,2364,0.881179
0,1,28,14,1877,1568,0.869951
0,1,28,16,875,960,0.855040
0,1,28,17,3060,2168,0.855926
0,1,28,18,1365,1272,0.865288
0,1,28,19,1706,996,0.835258
0,1,28,20,1052,960,0.858958
0,1,28,21,1685,1560,0.852780
0,1,28,22,1696,656,0.814618
0,1,28,23,1410,1364,0.861662
0,1,28,24,2947,2448,0.876157
0,1,28,25,815,804,0.842655
0,1,28,26,2085,2080,0.874996
0,1,28,28,1187,1496,0.855042
0,1,28,29,990,886,0.858768
0,1,28,30,1072,1080,0.876778
0,1,28,32,524,552,0.869388
0,1,28,33,1034,516,0.849427
0,1,32,1,2492,2428,0.867927
0,1,32,2,6204,5160,0.847484
0,1,32,3,6255,3938,0.859194
0,1,32,4,11056,8492,0.839641
0,1,32,5,5612,4792,0.836674
0,1,32,6,8587,7236,0.857198
0,1,32,7,5716,4740,0.849711
0,1,32,8,2852,2744,0.882463
0,1,32,9,4386,3808,0.863281
0,1,32,10,3360,2268,0.857653
0,1,32,12,1979,1952,0.860487
0,1,32,13,2291,2648,0.860117
0,1,32,14,1990,1624,0.867004
0,1,32,15,759,784,0.853576
0,1,32,16,1366,1448,0.871973
0,1,32,17,3840,2656,0.837057
0,1,32,18,1776,1644,0.856727
0,1,32,19,1697,972,0.832860
0,1,32,20,1057,952,0.891940
0,1,32,21,1785,1672,0.873512
0,1,32,23,952,872,0.869031
0,1,32,24,3421,2724,0.881696
0,1,32,25,682,660,0.820146
0,1,32,26,1903,1852,0.864200
0,1,32,28,1282,1604,0.849206
0,1,32,29,1677,1556,0.874278
0,1,32,30,855,844,0.828629
0,1,32,31,1168,950,0.684604
0,1,32,32,619,648,0.893712
0,1,32,33,1226,608,0.841524
0,1,36,1,1916,1816,0.860287
0,1,36,2,6027,5140,0.840724
0,1,36,3,5945,3590,0.843723
0,1,36,4,11029,8484,0.849412
0,1,36,5,6043,5080,0.860443
0,1,36,6,9366,8068,0.852254
0,1,36,7,7155,6188,0.858517
0,1,36,8,2943,2932,0.849666
0,1,36,9,5471,5034,0.874405
0,1,36,10,4270,2976,0.856018
0,1,36,12,2225,2288,0.861426
0,1,36,13,1867,2104,0.880030
0,1,36,14,2727,2416,0.853063
0,1,36,15,999,1084,0.878400
0,1,36,16,1023,1032,0.863572
0,1,36,17,5668,4114,0.634162
0,1,36,18,1458,1360,0.885112
0,1,36,19,756,524,0.807784
0,1,36,20,1365,1292,0.869599
0,1,36,21,1722,1668,0.857845
0,1,36,23,955,892,0.842282
0,1,36,24,3643,2768,0.873856
0,1,36,25,834,820,0.848053
0,1,36,26,2455,2468,0.869982
0,1,36,28,1023,1272,0.835316
0,1,36,29,1496,1404,0.874205
0,1,36,30,692,684,0.893182
0,1,36,32,595,636,0.869650
0,1,36,34,731,564,0.630012
0,1,40,1,2144,2076,0.866386
0,1,40,2,6792,5812,0.857134
0,1,40,3,6627,3612,0.840201
0,1,40,4,13182,10244,0.854560
0,1,40,5,7128,5344,0.853453
0,1,40,6,10575,8804,0.840104
0,1,40,7,7945,6800,0.834495
0,1,40,8,3225,3204,0.858456
0,1,40,9,5846,5332,0.846048
0,1,40,10,4317,3004,0.858461
0,1,40,12,2336,2428,0.855179
0,1,40,13,1905,2108,0.852078
0,1,40,14,2756,2460,0.863272
0,1,40,15,1201,1340,0.892126
0,1,40,16,963,932,0.831751
0,1,40,17,4505,3306,0.669979
0,1,40,18,1515,1368,0.860578
0,1,40,20,1314,1224,0.811818
0,1,40,21,1521,1432,0.837820
0,1,40,23,1400,1116,0.820359
0,1,40,24,3823,2256,0.855381
0,1,40,25,694,656,0.879674
0,1,40,26,2203,2116,0.858186
0,1,40,28,1275,1564,0.860009
0,1,40,29,1467,1366,0.837030
0,1,40,30,629,588,0.897290
0,1,44,1,1966,1844,0.837133
0,1,44,2,6494,5496,0.847406
0,1,44,3,7096,3750,0.841685
0,1,44,4,13512,10132,0.838099
0,1,44,5,8273,5756,0.866938
0,1,44,6,11382,9124,0.834873
0,1,44,7,7328,6064,0.866993
0,1,44,8,3306,3296,0.838166
0,1,44,9,6580,6004,0.867286
0,1,44,10,4201,2848,0.863507
0,1,44,12,1895,1784,0.865773
0,1,44,13,2393,2744,0.852151
0,1,44,14,2159,1864,0.854959
0,1,44,15,1584,1828,0.849781
0,1,44,16,1101,1060,0.872468
0,1,44,17,3551,2372,0.831363
0,1,44,18,1523,1316,0.857654
0,1,44,19,918,580,0.797565
0,1,44,20,1509,1412,0.881498
0,1,44,21,1399,1368,0.871031
0,1,44,23,1698,1264,0.814690
0,1,44,24,4416,2340,0.856308
0,1,44,25,1026,952,0.859308
0,1,44,26,2397,2224,0.875208
0,1,44,28,1362,1616,0.837351
0,1,44,29,1654,1530,0.858054
0,1,44,30,667,636,0.869650
0,1,44,31,1417,1074,0.755504
0,1,44,32,575,600,0.873697
0,1,44,35,771,704,0.859315
0,1,48,1,2768,2700,0.843162
0,1,48,2,6585,5564,0.832538
0,1,48,3,7837,3738,0.841457
0,1,48,4,14550,10164,0.837861
0,1,48,5,9352,6192,0.862819
0,1,48,6,12041,9272,0.842982
0,1,48,7,7453,6008,0.853636
0,1,48,8,2452,2248,0.848811
0,1,48,9,6693,5946,0.858133
0,1,48,10,4317,2876,0.844610
0,1,48,12,2316,1876,0.816649
0,1,48,13,2510,2840,0.862969
0,1,48,14,2056,1756,0.867770
0,1,48,15,1593,1816,0.837595
0,1,48,16,1166,1140,0.828149
0,1,48,17,6691,4798,0.737863
0,1,48,18,1530,1292,0.852152
0,1,48,20,1606,1484,0.853811
0,1,48,21,1595,1556,0.872020
0,1,48,23,2320,1684,0.841647
0,1,48,24,4751,2280,0.875875
0,1,48,25,1059,948,0.854719
0,1,48,26,2395,2116,0.879747
0,1,48,28,1450,1704,0.843771
0,1,48,29,1639,1470,0.861470
0,1,48,30,733,692,0.853852
0,1,48,32,641,664,0.864793
0,1,48,35,767,700,0.855529
0,1,48,36,477,428,0.869086
0,1,52,1,3294,3252,0.862200
0,1,52,2,7577,6568,0.837696
0,1,52,3,8759,3932,0.834953
0,1,52,4,14645,9440,0.846909
0,1,52,5,10959,6968,0.850429
0,1,52,6,13029,9656,0.834529
0,1,52,7,7728,6056,0.860361
0,1,52,8,2601,2192,0.836123
0,1,52,9,6171,5110,0.855737
0,1,52,10,4378,2888,0.822667
0,1,52,12,2636,1976,0.831122
0,1,52,13,2407,2676,0.854921
0,1,52,14,2039,1728,0.860824
0,1,52,15,1475,1656,0.826220
0,1,52,16,987,920,0.804215
0,1,52,17,6743,4560,0.623681
0,1,52,18,2021,1700,0.847668
0,1,52,19,784,476,0.810225
0,1,52,20,1569,1412,0.867636
0,1,52,21,2137,2064,0.874397
0,1,52,23,2565,1720,0.831356
0,1,52,24,5313,2320,0.865608
0,1,52,25,1162,1024,0.846917
0,1,52,26,2632,2260,0.858695
0,1,52,28,1578,1852,0.849423
0,1,52,29,1532,1316,0.865820
0,1,52,30,1001,944,0.872233
0,1,52,32,611,604,0.876604
0,1,52,35,1001,908,0.828888
0,1,52,37,684,452,0.839272
0,1,52,38,443,416,0.846781
0,1,56,1,3188,2952,0.868344
0,1,56,2,6447,4992,0.841779
0,1,56,3,9405,3850,0.850103
0,1,56,4,16092,9044,0.854313
0,1,56,5,12365,7056,0.861761
0,1,56,6,14342,9592,0.840156
0,1,56,7,8341,6064,0.852949
0,1,56,8,2923,2352,0.858501
0,1,56,9,6777,5036,0.844994
0,1,56,10,4521,2792,0.857941
0,1,56,12,2829,1800,0.825850
0,1,56,13,2763,3048,0.828487
0,1,56,14,2440,1972,0.862109
0,1,56,15,1280,1392,0.820909
0,1,56,16,1404,1292,0.826795
0,1,56,17,8172,5358,0.800312
0,1,56,18,2294,1880,0.863444
0,1,56,19,1231,740,0.849951
0,1,56,20,1610,1376,0.860751
0,1,56,21,2392,2220,0.861661
0,1,56,23,2193,1380,0.852198
0,1,56,24,6193,2380,0.848404
0,1,56,25,1528,1300,0.765294
0,1,56,26,3215,2652,0.860766
0,1,56,28,1602,1812,0.873407
0,1,56,29,2066,1744,0.869881
0,1,56,30,1510,1404,0.882418
0,1,56,32,566,508,0.859392
0,1,56,33,1178,560,0.779428
0,1,56,35,1075,912,0.881422
0,1,56,36,526,456,0.872113
0,1,56,37,1431,956,0.856018
0,1,56,38,537,492,0.889631
0,1,60,1,2750,2488,0.840008
0,1,60,2,6952,4776,0.857152
0,1,60,3,9390,3840,0.848998
0,1,60,4,15752,8916,0.854589
0,1,60,5,13021,7340,0.848282
0,1,60,6,13938,9012,0.849450
0,1,60,7,7793,5584,0.845980
0,1,60,8,3043,2456,0.835269
0,1,60,9,6352,4072,0.863448
0,1,60,10,4070,2564,0.860213
0,1,60,12,2965,2208,0.827672
0,1,60,13,2898,3296,0.858158
0,1,60,14,2507,2200,0.862219
0,1,60,15,1467,1652,0.826370
0,1,60,16,1455,1396,0.847100
0,1,60,17,7953,5466,0.804403
0,1,60,18,2263,1900,0.862349
0,1,60,19,1425,972,0.856462
0,1,60,20,1590,1408,0.866407
0,1,60,21,2264,2160,0.865176
0,1,60,23,2052,1308,0.826535
0,1,60,24,5833,2240,0.878350
0,1,60,25,1178,1016,0.847308
0,1,60,26,3097,2636,0.860543
0,1,60,28,1579,1808,0.863306
0,1,60,29,2185,1912,0.860267
0,1,60,30,1561,1496,0.870394
0,1,60,32,590,536,0.772696
0,1,60,33,1080,504,0.789522
0,1,60,35,1109,996,0.848376
0,1,60,37,1715,1232,0.886954
0,1,64,1,2624,2156,0.837241
0,1,64,2,7703,4532,0.845578
0,1,64,3,9943,3556,0.818310
0,1,64,4,16923,8724,0.837230
0,1,64,5,14685,7680,0.855351
0,1,64,6,15739,9240,0.834345
0,1,64,7,8426,5464,0.839522
0,1,64,8,3215,2328,0.842926
0,1,64,9,7757,4444,0.843091
0,1,64,10,4059,2444,0.868254
0,1,64,12,2904,1992,0.825769
0,1,64,13,2892,3132,0.855185
0,1,64,14,2795,2340,0.858083
0,1,64,15,1475,1608,0.831575
0,1,64,16,1598,1524,0.802590
0,1,64,17,7500,4750,0.753372
0,1,64,18,2215,1748,0.840063
0,1,64,19,851,616,0.885269
0,1,64,20,1416,1160,0.841203
0,1,64,21,2211,2028,0.866737
0,1,64,23,2515,1552,0.850591
0,1,64,24,5961,2184,0.867302
0,1,64,25,1118,916,0.863250
0,1,64,26,2836,2212,0.860107
0,1,64,28,1670,1864,0.854959
0,1,64,29,2027,1638,0.881432
0,1,64,30,1600,1416,0.871215
0,1,64,35,881,756,0.842438
0,1,64,37,1028,636,0.809366
0,1,68,1,2734,2060,0.821553
0,1,68,2,8324,4484,0.861629
0,1,68,3,11292,3842,0.836064
0,1,68,4,17442,8900,0.832492
0,1,68,5,15029,7644,0.848107
0,1,68,6,16585,9336,0.846245
0,1,68,7,8418,5380,0.807435
0,1,68,8,3199,2304,0.840285
0,1,68,9,8707,4650,0.843116
0,1,68,10,4341,2528,0.846733
0,1,68,12,3131,2072,0.827443
0,1,68,13,2792,2956,0.862352
0,1,68,14,2436,2068,0.864715
0,1,68,15,1517,1664,0.853852
0,1,68,16,1521,1464,0.855603
0,1,68,17,7626,4634,0.843301
0,1,68,18,2255,1784,0.855528
0,1,68,19,771,544,0.841850
0,1,68,20,1425,1172,0.856453
0,1,68,21,2170,2000,0.863480
0,1,68,23,3013,1812,0.859339
0,1,68,24,5805,2108,0.861094
0,1,68,25,1070,864,0.849225
0,1,68,26,2779,2120,0.837709
0,1,68,28,1716,1888,0.874259
0,1,68,29,2218,1822,0.870774
0,1,68,30,1584,1376,0.875985
0,1,68,33,1191,480,0.827994
0,1,68,35,926,804,0.854524
0,1,68,37,1305,832,0.762424
0,1,72,1,5106,4392,0.561807
0,1,72,2,8482,4512,0.838489
0,1,72,3,11154,3776,0.847651
0,1,72,4,18012,8984,0.844095
0,1,72,5,14677,7340,0.867421
0,1,72,6,16279,9088,0.833577
0,1,72,7,8538,5324,0.821255
0,1,72,8,3155,2308,0.841727
0,1,72,9,9454,4712,0.852413
0,1,72,10,4385,2588,0.852672
0,1,72,12,3465,2172,0.794885
0,1,72,13,2782,2948,0.852629
0,1,72,14,2497,2096,0.844911
0,1,72,16,1644,1632,0.824936
