Time,ID,Area
0,1,14422.104400
0,2,7859.738000
0,3,6328.976800
0,4,3809.742000
0,5,5196.350800
0,6,4997.283200
0,7,4118.640000
0,8,3322.369600
0,9,4801.647800
0,10,3898.979200
0,11,727.626400
0,12,1462.117200
0,13,768.812800
0,14,741.355200
0,15,1386.608800
0,16,1228.727600
0,17,1530.761200
0,18,2155.421600
0,19,1201.270000
2,1,14312.274000
2,2,7283.128400
2,3,6617.281600
2,4,4365.758400
2,5,5264.994800
2,6,4503.046400
2,7,4619.741200
2,8,1942.625200
2,9,4235.334800
2,10,5965.163600
2,11,878.643200
2,12,816.863600
2,14,768.812800
2,15,1654.320400
2,16,892.372000
2,17,1880.845600
2,18,2587.878800
2,19,1324.829200
2,20,1414.066400
2,21,755.084000
2,22,1091.439600
4,1,16399.051600
4,2,13447.359600
4,3,6720.247600
4,5,5532.706400
4,6,5814.146800
4,7,4626.605600
4,8,1990.676000
4,9,4122.072200
4,10,7736.178800
4,11,1592.540800
4,12,1118.897200
4,14,899.236400
4,15,2443.726400
4,16,3720.504800
4,17,1654.320400
4,18,2622.200800
4,19,1489.574800
4,20,2663.387200
4,22,809.999200
4,23,1132.626000
4,24,1214.998800
4,25,885.507600
6,1,14676.087200
6,2,13948.460800
6,3,6919.315200
6,5,5182.622000
6,6,5381.689600
6,7,4557.961600
6,8,2121.099600
6,9,5059.062800
6,10,8271.602000
6,11,2306.438400
6,12,1057.117600
6,14,720.762000
6,15,2491.777200
6,16,3473.386400
6,17,1105.168400
6,18,2313.302800
6,19,2011.269200
6,20,1839.659200
6,21,741.355200
6,24,1146.354800
6,25,782.541600
6,26,4345.165200
6,27,947.287200
6,28,1022.795600
8,1,18753.540800
8,2,9287.533200
8,3,6500.586800
8,4,5127.706800
8,5,5326.774400
8,6,5518.977600
8,7,4379.487200
8,8,2265.252000
8,9,6634.442600
8,10,8045.076800
8,11,2162.286000
8,12,1009.066800
8,14,823.728000
8,15,2457.455200
8,16,3260.590000
8,17,1496.439200
8,18,2230.930000
8,19,1825.930400
8,20,1983.811600
8,23,1688.642400
8,25,926.694000
8,29,741.355200
10,1,14442.697600
10,2,9967.108800
10,3,6699.654400
10,4,5656.265600
10,5,5518.977600
10,6,5704.316400
10,7,4606.012400
10,8,2725.166800
10,9,8093.127600
10,10,8216.686800
10,11,1805.337200
10,12,1153.219200
10,14,1036.524400
10,15,2587.878800
10,16,4104.911200
10,17,1510.168000
10,18,2615.336400
10,19,2121.099600
10,20,1688.642400
10,23,1935.760800
10,25,748.219600
10,26,4211.309400
10,28,1455.252800
10,29,837.456800
10,30,878.643200
12,1,14174.986000
12,2,10413.294800
12,3,7248.806400
12,4,6081.858400
12,5,5182.622000
12,6,6404.485200
12,7,4859.995200
12,8,2574.150000
12,9,6668.764600
12,10,7894.060000
12,11,2038.726800
12,12,892.372000
12,14,1132.626000
12,15,2574.150000
12,16,2855.590400
12,17,1764.150800
12,18,2375.082400
12,19,1688.642400
12,23,1990.676000
12,24,775.677200
12,25,727.626400
12,26,4400.080400
12,28,1297.371600
14,1,14888.883600
14,2,10770.243600
14,3,8278.466400
14,4,5930.841600
14,5,5697.452000
14,6,6768.298400
14,7,5299.316800
14,8,3051.225800
14,9,6473.129200
14,10,8395.161200
14,11,1764.150800
14,12,816.863600
14,14,1194.405600
14,15,2677.116000
14,16,3995.080800
14,17,1503.303600
14,18,2292.709600
14,19,1311.100400
14,20,1036.524400
14,23,1976.947200
14,24,899.236400
14,26,4025.970600
14,27,782.541600
14,28,1867.116800
14,31,906.100800
16,1,15081.086800
16,2,9946.515600
16,3,8038.212400
16,4,6239.739600
16,5,5615.079200
16,6,7379.230000
16,7,5395.418400
16,8,3596.945600
16,9,5673.426600
16,10,8573.635600
16,11,1997.540400
16,12,1112.032800
16,14,1057.117600
16,15,2306.438400
16,16,2773.217600
16,17,1661.184800
16,18,3047.793600
16,19,1571.947600
16,20,1716.100000
16,23,2258.387600
16,24,809.999200
16,26,3617.538800
18,1,12472.614800
18,2,10550.582800
18,3,7454.738400
18,4,5814.146800
18,5,4674.656400
18,6,6830.078000
18,7,5814.146800
18,8,3878.386000
18,9,5086.520400
18,10,6919.315200
18,11,2313.302800
18,12,1276.778400
18,15,2237.794400
18,16,2038.726800
18,17,1427.795200
18,18,2464.319600
18,19,2045.591200
18,20,2189.743600
18,23,1935.760800
18,24,974.744800
18,26,3487.115200
20,1,14202.443600
20,2,9541.516000
20,3,8312.788400
20,4,5766.096000
20,5,6404.485200
20,6,7461.602800
20,7,6095.587200
20,8,3881.818200
20,9,6425.078400
20,10,7516.518000
20,11,2553.556800
20,12,1585.676400
20,15,2320.167200
20,16,3439.064400
20,17,1311.100400
20,18,2697.709200
20,19,2601.607600
20,20,1427.795200
20,23,1887.710000
20,24,1063.982000
20,26,4056.860400
22,1,15369.391600
22,2,11463.548000
22,3,9198.296000
22,4,6088.722800
22,5,6232.875200
22,6,8099.992000
22,7,5972.028000
22,8,4736.436000
22,9,5412.579400
22,10,8765.838800
22,11,2814.404000
22,12,1619.998400
22,15,2347.624800
22,16,2793.810800
22,17,1503.303600
22,18,2278.980800
22,19,2862.454800
22,20,1654.320400
22,21,926.694000
22,23,2169.150400
22,24,1441.524000
22,26,4413.809200
22,28,823.728000
22,32,707.033200
22,33,2986.014000
24,1,16735.407200
24,2,12294.140400
24,3,9877.871600
24,4,6157.366800
24,5,7543.975600
24,6,7839.144800
24,7,5889.655200
24,8,3542.030400
24,9,3185.081600
24,10,9452.278800
24,11,2546.692400
24,12,1853.388000
24,14,1091.439600
24,15,2450.590800
24,16,3260.590000
24,17,1791.608400
24,18,2780.082000
24,19,3061.522400
24,20,1963.218400
24,21,1050.253200
24,23,2196.608000
24,24,1777.879600
24,26,5264.994800
24,28,2581.014400
24,32,796.270400
26,1,16429.941400
26,2,12603.038400
26,3,9623.888800
26,4,5731.774000
26,5,6404.485200
26,6,8491.262800
26,7,6061.265200
26,8,4221.606000
26,9,3823.470800
26,10,9507.194000
26,11,3102.708800
26,12,1242.456400
26,14,892.372000
26,15,2821.268400
26,16,2635.929600
26,17,1420.930800
26,18,4413.809200
26,19,3226.268000
26,20,2189.743600
26,21,844.321200
26,23,2491.777200
26,24,2121.099600
26,26,4482.453200
26,28,3219.403600
26,30,844.321200
26,32,720.762000
26,34,858.050000
28,1,16145.068800
28,2,12651.089200
28,3,9335.584000
28,4,5182.622000
28,5,4640.334400
28,6,9218.889200
28,7,6500.586800
28,8,3617.538800
28,9,3778.852200
28,10,11216.429600
28,11,3528.301600
28,12,1269.914000
28,15,2649.658400
28,16,2800.675200
28,17,1311.100400
28,18,4805.080000
28,19,3432.200000
28,20,2333.896000
28,21,830.592400
28,23,3027.200400
28,24,3789.148800
28,26,4791.351200
28,28,3734.233600
28,30,1304.236000
28,33,3157.624000
30,1,17744.474000
30,2,14140.664000
30,3,8889.398000
30,4,5182.622000
30,5,4859.995200
30,6,10131.854400
30,7,6260.332800
30,8,3047.793600
30,9,4458.427800
30,10,12273.547200
30,11,3596.945600
30,12,1256.185200
30,15,2992.878400
30,16,2834.997200
30,17,1283.642800
30,18,4818.808800
30,19,3054.658000
30,20,2045.591200
30,21,713.897600
30,23,3075.251200
30,24,3686.182800
30,26,4310.843200
30,28,2725.166800
30,30,1832.794800
32,1,24553.958800
32,2,14106.342000
32,3,9946.515600
32,4,6164.231200
32,5,3857.792800
32,6,10783.972400
32,7,5491.520000
32,8,3226.268000
32,9,3974.487600
32,10,12891.343200
32,11,2546.692400
32,12,988.473600
32,14,1585.676400
32,15,3686.182800
32,16,2903.641200
32,17,1221.863200
32,18,3239.996800
32,19,3452.793200
32,20,2581.014400
32,23,2828.132800
32,24,2169.150400
32,25,2683.980400
32,28,2574.150000
32,30,830.592400
32,33,4702.114000
34,1,24917.772000
34,2,14072.020000
34,3,8971.770800
34,4,6102.451600
34,5,3988.216400
34,6,11106.599200
34,7,6157.366800
34,8,3802.877600
34,9,4269.656800
34,10,14140.664000
34,11,2889.912400
34,12,1448.388400
34,14,2114.235200
34,15,3802.877600
34,16,4139.233200
34,17,1544.490000
34,18,3487.115200
34,19,3349.827200
34,20,3590.081200
34,21,830.592400
34,23,2869.319200
34,24,2409.404400
34,25,3034.064800
34,28,1427.795200
34,30,1132.626000
34,33,5567.028400
34,35,1125.761600
36,1,18382.863200
36,2,14751.595600
36,3,9699.397200
36,4,5875.926400
36,5,4235.334800
36,6,10941.853600
36,7,6143.638000
36,8,4671.224200
36,9,4122.072200
36,10,14847.697200
36,11,3569.488000
36,12,1702.371200
36,14,1983.811600
36,15,3349.827200
36,16,4235.334800
36,17,1352.286800
36,18,4777.622400
36,19,2862.454800
36,20,3171.352800
