Dosage,Replicate,Time,Fluorescence
300,5,40,1316274
300,5,44,1365967
300,5,48,1435262
300,5,52,1475495
300,5,56,1547066
300,5,60,1494845
300,5,64,1565732
300,5,68,1540469
300,5,72,1518284
300,0,0,895171
300,0,4,931555
300,0,8,928021
300,0,12,979049
300,0,16,975782
300,0,20,1052930
300,0,24,1046867
300,0,28,1144301
300,0,32,1224782
300,0,36,1271660
300,0,40,1360122
300,0,44,1399932
300,0,48,1474543
300,0,52,1506152
300,0,56,1575896
300,0,60,1520465
300,0,64,1586482
300,0,68,1556222
300,0,72,1531142
100,1,0,900083
100,1,4,940960
100,1,8,943050
100,1,12,999650
100,1,16,1000929
100,1,20,1095812
100,1,24,1113241
100,1,28,1249167
100,1,32,1379089
100,1,36,1478416
100,1,40,1608895
100,1,44,1701757
100,1,48,1826483
100,1,52,1897975
100,1,56,2012871
100,1,60,1950216
100,1,64,2052575
100,1,68,2021293
100,1,72,1993495
100,2,0,880812
100,2,4,921877
100,2,8,925596
100,2,12,992331
100,2,16,1005234
100,2,20,1109019
100,2,24,1134951
100,2,28,1290560
100,2,32,1426493
100,2,36,1540470
100,2,40,1686995
100,2,44,1780319
100,2,48,1911513
100,2,52,1993916
100,2,56,2112634
100,2,60,2058996
100,2,64,2173267
100,2,68,2145096
100,2,72,2119879
100,3,0,897166
100,3,4,930554
100,3,8,931911
100,3,12,992777
100,3,16,991068
100,3,20,1072646
100,3,24,1077857
100,3,28,1208521
100,3,32,1325965
100,3,36,1416834
100,3,40,1540771
100,3,44,1620460
100,3,48,1719555
100,3,52,1784571
100,3,56,1884209
100,3,60,1836310
100,3,64,1924854
100,3,68,1901865
100,3,72,1896426
100,4,0,849593
100,4,4,878269
100,4,8,881649
100,4,12,940110
100,4,16,944632
100,4,20,1021720
100,4,24,1024900
100,4,28,1142076
100,4,32,1242786
100,4,36,1318165
100,4,40,1428656
100,4,44,1500592
100,4,48,1602157
100,4,52,1677666
100,4,56,1777464
100,4,60,1732105
100,4,64,1830574
100,4,68,1811872
100,4,72,1838574
100,5,0,894066
100,5,4,921553
100,5,8,923130
100,5,12,976221
100,5,16,973432
100,5,20,1037042
100,5,24,1029583
100,5,28,1130251
100,5,32,1199328
100,5,36,1254222
100,5,40,1350774
100,5,44,1412473
100,5,48,1491124
100,5,52,1548339
100,5,56,1632692
100,5,60,1582564
100,5,64,1660594
100,5,68,1635338
100,5,72,1683625
100,0,0,872123
100,0,4,900567
100,0,8,899873
100,0,12,947358
100,0,16,946358
100,0,20,1008383
100,0,24,1005915
100,0,28,1103712
100,0,32,1181656
100,0,36,1252690
100,0,40,1354095
100,0,44,1420853
100,0,48,1507046
100,0,52,1566576
100,0,56,1654392
100,0,60,1612815
100,0,64,1690991
100,0,68,1670886
100,0,72,1714105
30,1,0,966766
30,1,4,1009749
30,1,8,1004463
30,1,12,1053133
30,1,16,1038793
30,1,20,1083983
30,1,24,1043012
30,1,28,1097147
30,1,32,1123241
30,1,36,1148911
30,1,40,1224944
30,1,44,1293248
30,1,48,1392913
30,1,52,1475756
30,1,56,1578243
30,1,60,1555630
30,1,64,1657303
30,1,68,1655811
30,1,72,1700998
30,2,0,877212
30,2,4,904978
30,2,8,901973
30,2,12,951169
30,2,16,947557
30,2,20,995670
30,2,24,969970
30,2,28,1040379
30,2,32,1084910
30,2,36,1135946
30,2,40,1226471
30,2,44,1310236
30,2,48,1413816
30,2,52,1510791
30,2,56,1617469
30,2,60,1600758
30,2,64,1701650
30,2,68,1688940
30,2,72,1726792
30,3,0,886566
30,3,4,931140
30,3,8,932817
30,3,12,986500
30,3,16,983906
30,3,20,1036706
30,3,24,1016122
30,3,28,1095727
30,3,32,1151771
30,3,36,1218228
30,3,40,1349959
30,3,44,1462957
30,3,48,1600907
30,3,52,1726299
30,3,56,1882808
30,3,60,1872093
30,3,64,2009749
30,3,68,2010155
30,3,72,2051860
30,4,0,868813
30,4,4,894459
30,4,8,894823
30,4,12,938802
30,4,16,929415
30,4,20,970375
30,4,24,940179
30,4,28,996976
30,4,32,1028677
30,4,36,1063385
30,4,40,1136309
30,4,44,1198860
30,4,48,1286981
30,4,52,1367277
30,4,56,1458976
30,4,60,1442480
30,4,64,1542060
30,4,68,1533879
30,4,72,1560896
30,5,0,945301
30,5,4,981799
30,5,8,984967
30,5,12,1042932
30,5,16,1037864
30,5,20,1085640
30,5,24,1050365
30,5,28,1118938
30,5,32,1164129
30,5,36,1213142
30,5,40,1307926
30,5,44,1398038
30,5,48,1515219
30,5,52,1608913
30,5,56,1725057
30,5,60,1705146
30,5,64,1819461
30,5,68,1815196
30,5,72,1836366
30,0,0,857958
30,0,4,879784
30,0,8,881160
30,0,12,932720
30,0,16,932387
30,0,20,974957
30,0,24,949711
30,0,28,1010817
30,0,32,1054947
30,0,36,1109308
30,0,40,1201429
30,0,44,1276395
30,0,48,1381367
30,0,52,1464184
30,0,56,1569576
30,0,60,1548992
30,0,64,1639850
30,0,68,1631569
30,0,72,1641172
10,1,0,866079
10,1,4,887767
10,1,8,892635
10,1,12,945053
10,1,16,944337
10,1,20,985028
10,1,24,952092
10,1,28,1006909
10,1,32,1021566
10,1,36,1034753
10,1,40,1078781
10,1,44,1122028
10,1,48,1192737
10,1,52,1269176
10,1,56,1373360
10,1,60,1383103
10,1,64,1496047
10,1,68,1522914
10,1,72,1561380
10,2,0,864239
10,2,4,889818
10,2,8,897277
10,2,12,948029
10,2,16,945230
10,2,20,983921
10,2,24,947880
10,2,28,1000048
10,2,32,1010470
10,2,36,1017961
10,2,40,1058392
10,2,44,1090651
10,2,48,1151576
10,2,52,1214037
10,2,56,1306385
10,2,60,1303138
10,2,64,1401846
10,2,68,1415334
10,2,72,1454026
10,3,0,863198
10,3,4,884696
10,3,8,888481
10,3,12,933833
10,3,16,932760
10,3,20,965762
10,3,24,932752
10,3,28,982170
10,3,32,996011
10,3,36,1008068
10,3,40,1042466
10,3,44,1077126
10,3,48,1138044
10,3,52,1205898
10,3,56,1303667
10,3,60,1314882
10,3,64,1424575
10,3,68,1449302
10,3,72,1487346
10,4,0,927782
10,4,4,961700
10,4,8,965830
10,4,12,1021145
10,4,16,1016406
10,4,20,1050855
10,4,24,1003764
10,4,28,1062254
10,4,32,1070978
10,4,36,1077390
10,4,40,1117123
10,4,44,1146948
10,4,48,1214684
10,4,52,1286369
10,4,56,1388078
10,4,60,1395816
10,4,64,1510620
10,4,68,1537361
10,4,72,1575447
10,5,0,875771
10,5,4,899564
10,5,8,902623
10,5,12,951432
10,5,16,953231
10,5,20,990861
10,5,24,956482
10,5,28,1015138
10,5,32,1029734
10,5,36,1043710
10,5,40,1083679
10,5,44,1126058
10,5,48,1187973
10,5,52,1255706
10,5,56,1349354
10,5,60,1367036
10,5,64,1481702
10,5,68,1510291
10,5,72,1552831
10,0,0,871306
10,0,4,891498
10,0,8,894289
10,0,12,937145
10,0,16,931142
10,0,20,959681
10,0,24,934787
10,0,28,963764
10,0,32,965736
10,0,36,966897
10,0,40,987510
10,0,44,1010119
10,0,48,1053374
10,0,52,1105591
10,0,56,1173572
10,0,60,1179364
10,0,64,1266117
10,0,68,1273766
10,0,72,1307692
3,1,0,904916
3,1,4,937099
3,1,8,943067
3,1,12,996926
3,1,16,997171
3,1,20,1035740
3,1,24,1012771
3,1,28,1054128
3,1,32,1057899
3,1,36,1063289
3,1,40,1088615
3,1,44,1108746
3,1,48,1145042
3,1,52,1183186
3,1,56,1244086
3,1,60,1224790
3,1,64,1299429
3,1,68,1311770
3,1,72,1343743
3,2,0,805437
3,2,4,814752
